,titles,author,pages,genres,pub_date,publisher,google_ratings,total_google_ratings,maturity,price,ebook,index,id,book_id,books_count,original_publication_year,original_title,short_title,language_code,goodbook_rating,ratings_count,work_ratings_count,work_text_reviews_count,main_tag,secondary_tag,minor_tag
50,"44 Scotland Street (44 Scotland Street, #1)",Alexander McCall Smith,352,Fiction,2010-05-21,Vintage Canada,3.0,54,NOT_MATURE,,False,7490,7491,97875,38,2005.0,44 Scotland Street,"44 Scotland Street (44 Scotland Street, #1)",eng,3.61,14795,16768,1932,fiction,scotland,mystery
51,"4:50 from Paddington (Miss Marple, #8)",Agatha Christie,288,Fiction,2004-03-30,Harper Collins,,,NOT_MATURE,9.99,True,5040,5041,140278,233,1957.0,4.50 From Paddington,"4:50 from Paddington (Miss Marple, #8)",eng,3.92,23416,28972,1254,mystery,agatha-christie,crime
52,"4th of July (Women's Murder Club, #4)",James Patterson,400,Fiction,2005-05-01,"Little, Brown",3.5,49,NOT_MATURE,9.99,True,1762,1763,33668,76,2005.0,"4th of July (Women's Murder Club, #4)","4th of July (Women's Murder Club, #4)",eng,4.04,55637,60809,1695,james-patterson,mystery,fiction
53,5 Very Good Reasons to Punch a Dolphin in the Mouth and Other Useful Guides,Matthew Inman,160,Humor,2010-10-01,Andrews McMeel Publishing,4.0,21,NOT_MATURE,9.99,True,9494,9495,9260507,6,2010.0,5 Very Good Reasons to Punch a Dolphin in the Mouth (and Other Useful Guides),5 Very Good Reasons to Punch a Dolphin in the Mouth and Other Useful Guides,eng,4.11,9469,10075,569,humor,comics,graphic-novels
54,5 cm,Donny Dhirgantoro,392,Juvenile Fiction,2015-09-03,Gramedia Widiasarana Indonesia,3.5,2,NOT_MATURE,3.87,True,5777,5778,1499340,3,2005.0,5 cm,5 cm,ind,3.84,12527,12767,1441,novel,indonesian,fiction
55,"61 Hours (Jack Reacher, #14)",Lee Child,400,Fiction,2010-05-18,Delacorte Press,3.5,98,NOT_MATURE,9.99,True,2120,2121,6977769,72,2010.0,61 Hours,"61 Hours (Jack Reacher, #14)",en-US,4.08,43605,51841,3235,thriller,lee-child,fiction
56,"77 Shadow Street (Pendleton, #1)",Dean Koontz,464,Fiction,2011-12-27,Bantam,3.5,41,NOT_MATURE,9.99,True,6778,6779,11166890,39,2011.0,77 Shadow Street,"77 Shadow Street (Pendleton, #1)",eng,3.29,14092,16528,1984,horror,dean-koontz,fiction
57,7: An Experimental Mutiny Against Excess,Jen Hatmaker,240,Religion,2012-01-01,B&H Publishing Group,4.0,24,NOT_MATURE,,False,6948,6949,12171769,6,2011.0,,7: An Experimental Mutiny Against Excess,eng,4.13,13434,14325,1476,non-fiction,christian,faith
58,"7th Heaven (Women's Murder Club, #7)",James Patterson,400,Fiction,2008-02-04,"Little, Brown",5.0,2,NOT_MATURE,7.99,True,2772,2773,552894,57,2008.0,7th Heaven,"7th Heaven (Women's Murder Club, #7)",eng,4.06,38503,42493,1604,james-patterson,mystery,fiction
59,"84, Charing Cross Road",Helene Hanff,256,Antiquarian booksellers,2008-07-03,Virago Press,4.5,142,NOT_MATURE,,False,4847,4848,368916,64,1970.0,"84, Charing Cross Road","84, Charing Cross Road",eng,4.19,26899,29517,4095,non-fiction,books-about-books,memoir
60,9-Nov,Colleen Hoover,320,Fiction,2015-11-10,Simon and Schuster,4.0,1533,NOT_MATURE,7.99,True,2330,2331,25111004,25,2015.0,9-Nov,9-Nov,en-US,4.41,53321,59828,10670,romance,new-adult,contemporary
61,90 Minutes in Heaven: A True Story of Death and Life,Don Piper,208,Biography & Autobiography,2006-09-01,Revell,4.0,542,NOT_MATURE,13.99,True,1096,1097,89375,54,2004.0,90 Minutes in Heaven,90 Minutes in Heaven: A True Story of Death and Life,,3.91,67937,69968,3056,non-fiction,religion,spiritual
62,A Bad Case of Stripes,David Shannon,32,Juvenile Fiction,2016-08-30,Scholastic Inc.,4.0,116,NOT_MATURE,3.99,True,1874,1875,474858,22,1998.0,A Bad Case of Stripes,A Bad Case of Stripes,eng,4.24,51764,52142,1518,picture-books,children-s-books,childrens
63,A Bargain for Frances,Russell Hoban,64,Juvenile Fiction,1970-09-30,Harper Collins,4.0,13,NOT_MATURE,,False,8577,8578,394683,25,1970.0,A Bargain for Frances,A Bargain for Frances,eng,4.25,13135,13323,162,picture-books,childrens,children-s-books
64,"A Bear Called Paddington (Paddington, #1)",Michael Bond,158,Bears,2014-06-27,HarperCollins Children's Books,4.0,21,NOT_MATURE,,False,1822,1823,160629,109,1958.0,A Bear Called Paddington,"A Bear Called Paddington (Paddington, #1)",eng,4.21,62590,64024,783,childrens,children,classics
65,"A Beautiful Dark (A Beautiful Dark, #1)",Jocelyn Davies,416,Young Adult Fiction,2011-09-27,Harper Collins,3.5,35,NOT_MATURE,6.99,True,8748,8749,10429025,9,2011.0,A Beautiful Dark ,"A Beautiful Dark (A Beautiful Dark, #1)",en-US,3.9,16529,16909,1320,angels,young-adult,paranormal
66,A Beautiful Mind,Sylvia Nasar,464,Biography & Autobiography,2011-07-12,Simon and Schuster,4.0,33,NOT_MATURE,14.99,True,877,878,13912,59,1998.0,A Beautiful Mind,A Beautiful Mind,en-GB,4.12,98276,100629,1100,biography,non-fiction,psychology
67,"A Beautiful Wedding (Beautiful, #2.5)",Jamie McGuire,176,Fiction,2014-11-25,Simon and Schuster,3.5,3,NOT_MATURE,,False,3191,3192,18528454,37,2013.0,A Beautiful Wedding,"A Beautiful Wedding (Beautiful, #2.5)",eng,4.08,41359,47475,3241,romance,new-adult,contemporary
68,A Bend in the River,V.S. Naipaul,288,Fiction,2010-10-20,Vintage,4.0,46,NOT_MATURE,,False,8360,8361,5845,64,1979.0,A Bend in the River,A Bend in the River,eng,3.77,11011,12220,677,fiction,africa,classics
69,A Bend in the Road,Nicholas Sparks,432,Fiction,2001-09-18,Grand Central Publishing,3.5,49,NOT_MATURE,7.99,True,682,683,3463,105,2001.0,A Bend in the Road,A Bend in the Road,eng,4.02,116800,123173,3392,nicholas-sparks,romance,fiction
70,"A Better World (Brilliance Saga, #2)",Marcus Sakey,380,Fiction,2014-06-17,Thomas & Mercer,,,NOT_MATURE,,False,7932,7933,20797535,19,2014.0,A Better World,"A Better World (Brilliance Saga, #2)",eng,4.15,10702,12880,708,science-fiction,sci-fi,fiction
71,A Bite to Remember (Argeneau #5),Lynsay Sands,384,Fiction,2009-03-17,Harper Collins,4.0,10,NOT_MATURE,6.99,True,9490,9491,38562,29,2006.0,A Bite to Remember,A Bite to Remember (Argeneau #5),eng,4.23,16516,17514,403,paranormal-romance,vampires,romance
72,"A Blaze of Sun (A Shade of Vampire, #5)",Bella Forrest,237,Vampires,,,3.0,1,NOT_MATURE,,False,8425,8426,18191814,11,2013.0,,"A Blaze of Sun (A Shade of Vampire, #5)",eng,4.15,7866,14066,498,vampires,paranormal,young-adult
73,A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,128,Martial arts,2004,,,,NOT_MATURE,,False,3922,3923,867247,77,1645.0,??? [Go Rin no Sho],A Book of Five Rings: The Classic Guide to Strategy,,4.09,19246,24699,959,philosophy,non-fiction,classics
74,"A Breath of Snow and Ashes (Outlander, #6)",Diana Gabaldon,992,Fiction,2010-12-17,Anchor Canada,4.0,74,NOT_MATURE,,False,1025,1026,10965,59,2005.0,A Breath of Snow and Ashes,"A Breath of Snow and Ashes (Outlander, #6)",eng,4.43,87098,102765,4053,diana-gabaldon,historical-romance,outlander-series
75,A Bridge Too Far,Cornelius Ryan,672,History,2010-02-16,Simon and Schuster,4.5,10,NOT_MATURE,12.99,True,7244,7245,539904,38,1974.0,A Bridge Too Far,A Bridge Too Far,eng,4.24,13676,14329,250,history,world-war-ii,non-fiction
76,A Brief History of Seven Killings,Marlon James,704,Fiction,2014-10-02,Penguin,3.5,1179,NOT_MATURE,10.99,True,6032,6033,20893314,45,2014.0,A Brief History of Seven Killings,A Brief History of Seven Killings,eng,3.86,13578,17119,2753,fiction,historical-fiction,abandoned
77,A Brief History of Time,Stephen Hawking,224,Science,2011-05-04,Bantam,4.0,19,NOT_MATURE,9.99,True,438,439,3869,246,1987.0,A Brief History of Time: From the Big Bang to Black Holes,A Brief History of Time,eng,4.12,165628,181410,5146,science,non-fiction,physics
78,A Briefer History of Time,Stephen Hawking,162,Science,2008,Bantam,3.5,22,NOT_MATURE,,False,4118,4119,2094,89,2005.0,A Briefer History of Time,A Briefer History of Time,eng,4.19,19838,22637,888,non-fiction,science,history
79,A Canticle for Leibowitz,Walter M. Miller Jr.,319,Dystopias,2013-04-01,,3.5,126,NOT_MATURE,,False,1519,1520,164154,118,1959.0,A Canticle for Leibowitz,A Canticle for Leibowitz,eng,3.97,66721,71988,3596,science-fiction,sci-fi,fiction
80,"A Caress of Twilight (Merry Gentry, #2)",Laurell K. Hamilton,368,Fiction,2008-12-18,Ballantine Books,3.5,38,NOT_MATURE,5.99,True,4655,4656,30240,52,2002.0,"A Caress of Twilight (Merry Gentry, #2)","A Caress of Twilight (Merry Gentry, #2)",en-US,4.05,29980,33314,650,fantasy,urban-fantasy,paranormal
81,"A Caribbean Mystery (Miss Marple, #10)",Agatha Christie,256,Caribbean Area,2006,HarperCollins Publishers,,,NOT_MATURE,,False,9115,9116,31300,162,1964.0,A Caribbean Mystery,"A Caribbean Mystery (Miss Marple, #10)",eng,3.77,14459,17371,787,mystery,agatha-christie,fiction
82,A Case of Need,Jeffery Hudson,,,1968,,,,NOT_MATURE,,False,6112,6113,7663,57,1968.0,A Case of Need,A Case of Need,en-US,3.6,14109,16047,563,fiction,thriller,mystery
83,"A Castle of Sand (A Shade of Vampire, #3)",Bella Forrest,352,Young Adult Fiction,2017-10-08,,,,NOT_MATURE,,False,6220,6221,17925397,11,2013.0,,"A Castle of Sand (A Shade of Vampire, #3)",eng,4.1,18998,19239,755,vampires,paranormal,young-adult
84,"A Certain Slant of Light (Light, #1)",Laura Whitcomb,288,Young Adult Fiction,2005-09-21,Houghton Mifflin Harcourt,4.0,92,NOT_MATURE,5.99,True,8195,8196,289601,24,2005.0,A Certain Slant of Light,"A Certain Slant of Light (Light, #1)",en-US,3.83,16769,17513,1819,young-adult,paranormal,fantasy
85,A Chair for My Mother,Vera B. Williams,32,Juvenile Fiction,1982-10-01,Harper Collins,,,NOT_MATURE,,False,6403,6404,835202,30,1982.0,A Chair for My Mother ,A Chair for My Mother,eng,4.2,19919,20066,844,picture-books,children-s-books,childrens
86,A Charlie Brown Christmas,Charles M. Schulz,192,Humor,2005-09-27,Harper Collins,3.0,1,NOT_MATURE,,False,8699,8700,1275105,59,1965.0,A Charlie Brown Christmas ,A Charlie Brown Christmas,,4.48,11639,13889,241,christmas,childrens,children-s-books
87,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,195,Self-Help,2010-01-01,"Health Communications, Inc.",4.0,174,NOT_MATURE,11.95,True,220,221,60748,74,1995.0,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",eng,4.08,311543,321298,13729,memoir,non-fiction,memoirs
88,A Child's Garden of Verses,Robert Louis Stevenson,101,Children's poetry,1897,,5.0,1,NOT_MATURE,,True,5971,5972,20413,424,1885.0,A Child's Garden of Verses,A Child's Garden of Verses,eng,4.3,20354,21600,454,poetry,childrens,children
89,A Christmas Carol,Charles Dickens,64,Juvenile Fiction,2010-09-01,,4.0,218,NOT_MATURE,,False,203,204,5326,2380,1843.0,A Christmas Carol,A Christmas Carol,,4.02,394540,441396,11568,classics,fiction,classic
90,A Christmas Carol and Other Christmas Writings,Charles Dickens,336,Fiction,2003-10-30,Penguin UK,4.0,10,NOT_MATURE,9.86,True,3322,3323,5338,132,1843.0,A Christmas Carol and Other Christmas Writings,A Christmas Carol and Other Christmas Writings,eng,4.13,28675,32002,578,classics,fiction,christmas
91,"A Christmas Carol, The Chimes and The Cricket on the Hearth",Charles Dickens,184,Fiction,2011-08-01,,,,NOT_MATURE,,False,2167,2168,169848,35,1843.0,,"A Christmas Carol, The Chimes and The Cricket on the Hearth",,4.11,48557,48945,263,fiction,classic,fantasy
92,A Civil Action,Jonathan Harr,512,True Crime,2011-08-10,Vintage,4.0,18,NOT_MATURE,5.99,True,7715,7716,27397,28,1995.0,A Civil Action,A Civil Action,en-US,3.94,11985,12304,701,non-fiction,law,fiction
93,"A Civil Campaign (Vorkosigan Saga, #12)",Lois McMaster Bujold,544,Fiction,2000-08-01,Baen Books,4.0,36,NOT_MATURE,,False,9847,9848,61899,21,1999.0,A Civil Campaign,"A Civil Campaign (Vorkosigan Saga, #12)",eng,4.43,11823,12802,584,science-fiction,sci-fi,romance
94,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,784,Fiction,2003-01-01,Bantam,4.0,819,NOT_MATURE,9.99,True,109,110,10572,202,1998.0,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,4.4,523303,606765,20325,fantasy,fiction,series
95,A Clockwork Orange,Anthony Burgess,246,Fiction,2012-10-22,W. W. Norton & Company,,,NOT_MATURE,,False,172,173,227463,283,1962.0,A Clockwork Orange,A Clockwork Orange,eng,3.98,431195,454391,9958,sci-fi,dystopian,classic
